Asset Name,Lat,Long,Business Category,Risk Factors,Year,Risk Rating
Martin-Jenkins,46.95351,-62.90068,Technology,"{""Drought"": 0.13, ""Extreme cold"": 0.12, ""Hurricane"": 0.13, ""Wildfire"": 0.02, ""Sea level rise"": 0.01, ""Flooding"": 0.15}","2,070",0.56
Stanton-Joyce,43.33691,-79.30418,Retail,"{""Hurricane"": 0.39, ""Volcano"": 0.01}","2,030",0.40
Grant-Coffey,46.11377,-73.06326,Manufacturing,"{""Flooding"": 0.28, ""Hurricane"": 0.09, ""Tornado"": 0.31}","2,030",0.68
"Mcknight, Beasley and Stewart",51.34764,-118.70434,Manufacturing,"{""Drought"": 0.03, ""Tornado"": 0.02, ""Sea level rise"": 0.04, ""Volcano"": 0.04, ""Extreme heat"": 0.05, ""Flooding"": 0.05, ""Wildfire"": 0.04}","2,030",0.27
Alvarez Inc,47.19761,-59.74382,Retail,"{""Volcano"": 0.73}","2,070",0.73
Banks-Carlson,44.21818,-79.93681,Manufacturing,"{""Earthquake"": 0.02, ""Drought"": 0.0, ""Tornado"": 0.0, ""Flooding"": 0.0, ""Volcano"": 0.0, ""Hurricane"": 0.0, ""Extreme cold"": 0.0, ""Wildfire"": 0.0, ""Sea level rise"": 0.0, ""Extreme heat"": 0.0}","2,060",0.02
Strickland-Daniels,44.44211,-77.81076,Manufacturing,"{""Extreme cold"": 0.04, ""Tornado"": 0.02, ""Sea level rise"": 0.12, ""Earthquake"": 0.06, ""Hurricane"": 0.07, ""Wildfire"": 0.12, ""Volcano"": 0.02, ""Extreme heat"": 0.1}","2,060",0.55
"Watson, Evans and Smith",45.51141,-73.44585,Technology,"{""Wildfire"": 0.15, ""Hurricane"": 0.1, ""Earthquake"": 0.11, ""Extreme heat"": 0.03, ""Volcano"": 0.16}","2,030",0.55
Martin-Jenkins,50.42698,-118.95812,Energy,"{""Flooding"": 0.04, ""Extreme cold"": 0.18, ""Extreme heat"": 0.1, ""Hurricane"": 0.09, ""Sea level rise"": 0.13, ""Earthquake"": 0.07}","2,050",0.61
"Landry, Molina and Green",42.87725,-79.02205,Healthcare,"{""Drought"": 0.31}","2,040",0.31
Rivera Inc,46.02600,-72.76746,Finance,"{""Sea level rise"": 0.92}","2,040",0.92
"Patel, Norris and Jackson",50.90574,-118.03766,Energy,"{""Flooding"": 0.08, ""Tornado"": 0.22, ""Drought"": 0.15, ""Volcano"": 0.11, ""Extreme heat"": 0.07}","2,070",0.63
Zuniga Inc,53.97131,-111.96349,Retail,"{""Wildfire"": 0.11, ""Volcano"": 0.1, ""Flooding"": 0.16, ""Earthquake"": 0.09}","2,070",0.46
Robertson-Petersen,50.62474,-119.36334,Energy,"{""Earthquake"": 0.29, ""Wildfire"": 0.32}","2,070",0.61
Skinner-Rojas,45.72828,-73.13863,Energy,"{""Hurricane"": 0.19, ""Wildfire"": 0.11, ""Extreme heat"": 0.05, ""Drought"": 0.21, ""Earthquake"": 0.19, ""Flooding"": 0.15, ""Volcano"": 0.0}","2,050",0.90
Stanton-Joyce,46.34133,-62.48690,Energy,"{""Hurricane"": 0.03, ""Extreme cold"": 0.0}","2,060",0.03
Willis-Newman,44.19283,-79.74365,Healthcare,"{""Extreme cold"": 0.04, ""Extreme heat"": 0.05, ""Volcano"": 0.1, ""Wildfire"": 0.04, ""Drought"": 0.03, ""Tornado"": 0.1, ""Flooding"": 0.08, ""Sea level rise"": 0.06, ""Earthquake"": 0.07, ""Hurricane"": 0.01}","2,060",0.58
"Mcpherson, Simmons and Simpson",45.87679,-72.39662,Energy,"{""Hurricane"": 0.15, ""Sea level rise"": 0.1, ""Tornado"": 0.1, ""Flooding"": 0.0, ""Extreme cold"": 0.14, ""Drought"": 0.05}","2,070",0.54
Thomas-Chavez,51.10617,-119.00955,Finance,"{""Volcano"": 0.01, ""Extreme heat"": 0.02, ""Drought"": 0.02, ""Wildfire"": 0.02, ""Sea level rise"": 0.02, ""Tornado"": 0.0, ""Earthquake"": 0.01, ""Hurricane"": 0.02, ""Flooding"": 0.01}","2,060",0.13
"Mejia, Roberts and Gay",46.44896,-59.94492,Healthcare,"{""Hurricane"": 0.08, ""Drought"": 0.04, ""Extreme heat"": 0.07, ""Volcano"": 0.07, ""Extreme cold"": 0.02}","2,030",0.28
Williams Group,47.15010,-59.10758,Healthcare,"{""Tornado"": 0.44, ""Drought"": 0.05, ""Extreme heat"": 0.32}","2,070",0.81
Cook-Burns,46.60930,-72.77391,Retail,"{""Extreme heat"": 0.12, ""Flooding"": 0.11, ""Volcano"": 0.07, ""Extreme cold"": 0.0, ""Hurricane"": 0.09, ""Sea level rise"": 0.04, ""Earthquake"": 0.05, ""Wildfire"": 0.01, ""Tornado"": 0.12}","2,070",0.61
Acevedo-Kennedy,44.33246,-79.98727,Technology,"{""Hurricane"": 0.08, ""Sea level rise"": 0.01, ""Extreme heat"": 0.06, ""Extreme cold"": 0.01, ""Earthquake"": 0.03, ""Volcano"": 0.02, ""Wildfire"": 0.03, ""Drought"": 0.06, ""Flooding"": 0.02}","2,060",0.32
Banks-Carlson,46.31817,-59.26613,Retail,"{""Earthquake"": 0.01, ""Sea level rise"": 0.01, ""Drought"": 0.0}","2,030",0.02
Guzman Ltd,45.57310,-73.80344,Technology,"{""Wildfire"": 0.03}","2,060",0.03
"Landry, Molina and Green",47.30435,-59.86988,Technology,"{""Volcano"": 0.29, ""Drought"": 0.3, ""Tornado"": 0.33}","2,070",0.92
Vega-Huffman,44.78763,-78.25939,Retail,"{""Drought"": 0.06999999999999999, ""Tornado"": 0.03, ""Wildfire"": 0.09, ""Volcano"": 0.08, ""Earthquake"": 0.09, ""Sea level rise"": 0.09, ""Extreme heat"": 0.16}","2,050",0.61
Reid PLC,46.82275,-72.71034,Retail,"{""Extreme heat"": 0.16, ""Drought"": 0.09, ""Volcano"": 0.04, ""Earthquake"": 0.07, ""Hurricane"": 0.0, ""Tornado"": 0.06, ""Extreme cold"": 0.08, ""Wildfire"": 0.08, ""Flooding"": 0.22, ""Sea level rise"": 0.13}","2,030",0.93
Alvarez Inc,49.93657,-119.26269,Manufacturing,"{""Earthquake"": 0.049999999999999996, ""Flooding"": 0.06, ""Extreme cold"": 0.01, ""Tornado"": 0.01, ""Wildfire"": 0.06, ""Hurricane"": 0.03}","2,060",0.22
"Davis, Allen and Rivera",50.20672,-118.95570,Energy,"{""Earthquake"": 0.5}","2,030",0.50
Flynn-Anderson,50.55332,-118.04246,Healthcare,"{""Sea level rise"": 0.05, ""Flooding"": 0.41, ""Extreme cold"": 0.24, ""Drought"": 0.01, ""Earthquake"": 0.02}","2,070",0.73
"Fox, Daniel and Coleman",47.63098,-61.79986,Energy,"{""Flooding"": 0.02, ""Drought"": 0.02, ""Sea level rise"": 0.03, ""Hurricane"": 0.02, ""Volcano"": 0.01, ""Extreme heat"": 0.06, ""Wildfire"": 0.06, ""Extreme cold"": 0.02, ""Earthquake"": 0.06}","2,070",0.30
Good-Lewis,46.36085,-72.65001,Healthcare,"{""Extreme heat"": 0.08, ""Volcano"": 0.18, ""Flooding"": 0.14, ""Extreme cold"": 0.05, ""Earthquake"": 0.14, ""Drought"": 0.16, ""Sea level rise"": 0.11}","2,040",0.86
"Davis, Allen and Rivera",46.57787,-73.58693,Healthcare,"{""Extreme heat"": 0.46}","2,050",0.46
Waller Ltd,46.23285,-60.17314,Manufacturing,"{""Sea level rise"": 0.05, ""Extreme cold"": 0.06, ""Tornado"": 0.03, ""Wildfire"": 0.01, ""Volcano"": 0.06, ""Drought"": 0.05, ""Flooding"": 0.03, ""Hurricane"": 0.08, ""Earthquake"": 0.04, ""Extreme heat"": 0.08}","2,070",0.49
Banks-Carlson,46.78744,-61.79061,Energy,"{""Hurricane"": 0.17, ""Extreme heat"": 0.02, ""Sea level rise"": 0.16, ""Tornado"": 0.13, ""Flooding"": 0.12, ""Volcano"": 0.19, ""Extreme cold"": 0.13, ""Drought"": 0.03}","2,050",0.95
Smith-Woods,47.42781,-58.91470,Healthcare,"{""Tornado"": 0.0, ""Drought"": 0.01, ""Hurricane"": 0.01, ""Extreme heat"": 0.01}","2,040",0.03
"Fox, Daniel and Coleman",50.57797,-118.75391,Retail,"{""Volcano"": 0.31, ""Drought"": 0.34}","2,050",0.65
"Washington, Rogers and Morrison",51.40935,-119.00866,Finance,"{""Wildfire"": 0.01, ""Extreme cold"": 0.03, ""Tornado"": 0.03, ""Flooding"": 0.01, ""Hurricane"": 0.0}","2,070",0.08
Park and Sons,46.35283,-73.19645,Energy,"{""Volcano"": 0.21, ""Earthquake"": 0.02, ""Flooding"": 0.11}","2,030",0.34
"Hooper, Evans and Merritt",50.55265,-119.10550,Energy,"{""Wildfire"": 0.0, ""Extreme cold"": 0.0, ""Flooding"": 0.01, ""Sea level rise"": 0.0, ""Earthquake"": 0.01, ""Drought"": 0.0, ""Extreme heat"": 0.0, ""Volcano"": 0.0, ""Tornado"": 0.01}","2,040",0.03
Perez-Robertson,46.04526,-73.73628,Healthcare,"{""Volcano"": 0.05, ""Sea level rise"": 0.02, ""Flooding"": 0.12, ""Drought"": 0.06, ""Extreme cold"": 0.05, ""Extreme heat"": 0.08, ""Wildfire"": 0.02, ""Earthquake"": 0.03}","2,060",0.43
"Bender, Warren and Sanchez",46.04102,-73.35033,Healthcare,"{""Extreme heat"": 0.99}","2,050",0.99
Strickland-Daniels,46.44504,-59.61954,Energy,"{""Sea level rise"": 0.34, ""Volcano"": 0.09, ""Tornado"": 0.1, ""Wildfire"": 0.13}","2,040",0.66
Reid-Sherman,50.71656,-118.76031,Manufacturing,"{""Sea level rise"": 0.51, ""Volcano"": 0.44}","2,040",0.95
"Bender, Warren and Sanchez",45.75457,-72.77296,Technology,"{""Volcano"": 0.08, ""Wildfire"": 0.03, ""Sea level rise"": 0.09, ""Tornado"": 0.04, ""Extreme cold"": 0.06, ""Drought"": 0.1, ""Flooding"": 0.08, ""Hurricane"": 0.07, ""Earthquake"": 0.09}","2,070",0.64
Vega-Huffman,44.37843,-77.92348,Finance,"{""Hurricane"": 0.0, ""Wildfire"": 0.01, ""Extreme heat"": 0.0, ""Flooding"": 0.0, ""Volcano"": 0.01, ""Sea level rise"": 0.0, ""Drought"": 0.0, ""Extreme cold"": 0.01, ""Earthquake"": 0.01}","2,060",0.04
Wiley Ltd,44.86079,-79.24527,Healthcare,"{""Extreme cold"": 0.04, ""Hurricane"": 0.01, ""Tornado"": 0.06, ""Wildfire"": 0.09, ""Volcano"": 0.08, ""Flooding"": 0.12, ""Earthquake"": 0.05, ""Sea level rise"": 0.11, ""Extreme heat"": 0.1}","2,070",0.66
Jimenez-Gallegos,46.74828,-72.49081,Finance,"{""Earthquake"": 0.01, ""Drought"": 0.01, ""Extreme cold"": 0.0, ""Flooding"": 0.0, ""Hurricane"": 0.01, ""Tornado"": 0.01, ""Sea level rise"": 0.01}","2,030",0.05
Horne and Sons,54.77003,-113.10992,Healthcare,"{""Tornado"": 0.01, ""Flooding"": 0.08, ""Sea level rise"": 0.06, ""Hurricane"": 0.01}","2,040",0.16
"Mejia, Roberts and Gay",46.78204,-72.77381,Energy,"{""Volcano"": 0.01, ""Extreme heat"": 0.01, ""Wildfire"": 0.01, ""Tornado"": 0.01, ""Earthquake"": 0.01, ""Hurricane"": 0.01, ""Sea level rise"": 0.0}","2,050",0.06
"Mcknight, Beasley and Stewart",54.53415,-112.35575,Manufacturing,"{""Earthquake"": 0.37, ""Volcano"": 0.26}","2,070",0.63
Guzman Ltd,47.36523,-59.20589,Energy,"{""Drought"": 0.0, ""Extreme cold"": 0.0, ""Sea level rise"": 0.0, ""Wildfire"": 0.0, ""Hurricane"": 0.0}","2,030",0.00
Perez-Robertson,46.83941,-72.51792,Technology,"{""Hurricane"": 0.01, ""Extreme heat"": 0.24, ""Drought"": 0.23, ""Extreme cold"": 0.05, ""Flooding"": 0.29}","2,040",0.82
Jones Ltd,54.92278,-112.67635,Energy,"{""Hurricane"": 0.04, ""Volcano"": 0.0, ""Tornado"": 0.02, ""Extreme cold"": 0.02, ""Earthquake"": 0.03, ""Drought"": 0.01, ""Flooding"": 0.02, ""Sea level rise"": 0.01, ""Extreme heat"": 0.05}","2,040",0.20
Perez-Robertson,51.73402,-119.02926,Finance,"{""Volcano"": 0.07, ""Extreme heat"": 0.08, ""Extreme cold"": 0.04, ""Flooding"": 0.03, ""Tornado"": 0.16, ""Sea level rise"": 0.0, ""Earthquake"": 0.14, ""Hurricane"": 0.13, ""Drought"": 0.17}","2,040",0.82
Gross PLC,43.40170,-79.81678,Healthcare,"{""Extreme cold"": 0.09, ""Drought"": 0.06, ""Extreme heat"": 0.01, ""Earthquake"": 0.05, ""Flooding"": 0.02, ""Wildfire"": 0.01}","2,030",0.24
Foster-Flores,46.38935,-72.28665,Healthcare,"{""Wildfire"": 0.11, ""Hurricane"": 0.03, ""Volcano"": 0.02, ""Tornado"": 0.07, ""Drought"": 0.07}","2,070",0.30
"Bender, Warren and Sanchez",47.40520,-60.12678,Technology,"{""Extreme cold"": 0.01, ""Drought"": 0.2, ""Hurricane"": 0.36, ""Earthquake"": 0.05}","2,070",0.62
"Kelley, Barnes and Hutchinson",45.93355,-72.36216,Healthcare,"{""Flooding"": 0.11, ""Hurricane"": 0.15, ""Wildfire"": 0.19, ""Drought"": 0.15, ""Sea level rise"": 0.15}","2,070",0.75
Grant-Coffey,53.80810,-112.59281,Finance,"{""Flooding"": 0.13, ""Extreme cold"": 0.56}","2,060",0.69
"Kelley, Barnes and Hutchinson",44.00513,-78.56641,Healthcare,"{""Extreme cold"": 0.39, ""Hurricane"": 0.52}","2,030",0.91
"Mejia, Roberts and Gay",46.69653,-60.12514,Retail,"{""Earthquake"": 0.03, ""Drought"": 0.03, ""Volcano"": 0.02, ""Wildfire"": 0.01, ""Tornado"": 0.01, ""Hurricane"": 0.0, ""Sea level rise"": 0.01}","2,060",0.11
Reid PLC,47.65888,-62.84154,Retail,"{""Flooding"": 0.06, ""Volcano"": 0.05, ""Wildfire"": 0.05, ""Extreme cold"": 0.02, ""Hurricane"": 0.03}","2,040",0.21
Gross PLC,45.61954,-72.84217,Finance,"{""Sea level rise"": 0.09, ""Extreme cold"": 0.04, ""Tornado"": 0.05, ""Extreme heat"": 0.0, ""Hurricane"": 0.08, ""Earthquake"": 0.08, ""Wildfire"": 0.03}","2,070",0.37
"Wagner, Curry and Pearson",51.00163,-119.06047,Manufacturing,"{""Earthquake"": 0.05, ""Wildfire"": 0.04, ""Extreme heat"": 0.04}","2,030",0.13
Wiley Ltd,51.19273,-118.77880,Energy,"{""Drought"": 0.13, ""Sea level rise"": 0.17, ""Tornado"": 0.14}","2,070",0.44
Stewart PLC,50.37263,-118.40076,Finance,"{""Flooding"": 0.01, ""Sea level rise"": 0.0, ""Volcano"": 0.0, ""Hurricane"": 0.0}","2,050",0.01
Horne and Sons,46.03010,-72.43746,Manufacturing,"{""Tornado"": 0.03, ""Wildfire"": 0.24, ""Volcano"": 0.64}","2,040",0.91
Horne and Sons,46.80178,-72.76309,Retail,"{""Volcano"": 0.060000000000000005, ""Extreme cold"": 0.05, ""Hurricane"": 0.02}","2,060",0.13
Banks-Carlson,49.93344,-118.36147,Finance,"{""Tornado"": 0.56, ""Drought"": 0.14}","2,030",0.70
Wiley Ltd,45.63479,-72.52732,Healthcare,"{""Hurricane"": 0.58, ""Volcano"": 0.42}","2,070",1.00
Kemp-Anderson,44.83795,-78.81887,Healthcare,"{""Sea level rise"": 0.0, ""Volcano"": 0.1, ""Flooding"": 0.06, ""Earthquake"": 0.08, ""Drought"": 0.01, ""Hurricane"": 0.07, ""Tornado"": 0.03, ""Extreme cold"": 0.07}","2,050",0.42
Banks-Carlson,46.42387,-73.45806,Healthcare,"{""Hurricane"": 0.63, ""Sea level rise"": 0.27, ""Volcano"": 0.07}","2,050",0.97
"Hall, Meadows and Anderson",43.50784,-80.32554,Energy,"{""Flooding"": 0.02, ""Extreme cold"": 0.02, ""Hurricane"": 0.02}","2,050",0.06
Vega-Huffman,45.86987,-72.37805,Retail,"{""Flooding"": 0.56, ""Earthquake"": 0.38}","2,060",0.94
Good-Lewis,46.04413,-72.35589,Technology,"{""Extreme heat"": 0.06, ""Tornado"": 0.04, ""Hurricane"": 0.02, ""Flooding"": 0.17, ""Drought"": 0.12, ""Earthquake"": 0.18, ""Sea level rise"": 0.05, ""Wildfire"": 0.1, ""Extreme cold"": 0.02, ""Volcano"": 0.14}","2,070",0.90
"Harrison, Meza and Rios",45.55008,-72.60095,Healthcare,"{""Wildfire"": 0.47}","2,060",0.47
Banks-Carlson,47.10251,-63.06230,Technology,"{""Volcano"": 0.0, ""Extreme cold"": 0.03, ""Flooding"": 0.06, ""Earthquake"": 0.02, ""Hurricane"": 0.06}","2,050",0.17
Rivera Inc,46.47644,-73.71838,Manufacturing,"{""Volcano"": 0.24, ""Sea level rise"": 0.17, ""Flooding"": 0.12}","2,070",0.53
Jones Ltd,47.67518,-61.69010,Manufacturing,"{""Extreme heat"": 0.02, ""Sea level rise"": 0.0, ""Tornado"": 0.0, ""Flooding"": 0.0, ""Wildfire"": 0.0, ""Hurricane"": 0.0, ""Extreme cold"": 0.0, ""Drought"": 0.0}","2,070",0.02
Pittman PLC,46.75801,-73.44898,Energy,"{""Sea level rise"": 0.09, ""Flooding"": 0.07, ""Hurricane"": 0.07, ""Earthquake"": 0.02}","2,030",0.25
Zuniga Inc,51.34886,-119.46425,Energy,"{""Hurricane"": 0.01, ""Sea level rise"": 0.0, ""Flooding"": 0.0, ""Earthquake"": 0.0, ""Extreme cold"": 0.0}","2,030",0.01
Jimenez-Gallegos,46.45805,-72.80439,Retail,"{""Tornado"": 0.21, ""Wildfire"": 0.06}","2,040",0.27
"Taylor, Mitchell and Ward",46.76411,-62.00911,Retail,"{""Tornado"": 0.04, ""Extreme cold"": 0.22, ""Volcano"": 0.22}","2,060",0.48
Campos and Sons,47.18981,-58.79626,Finance,"{""Earthquake"": 0.02, ""Drought"": 0.04, ""Hurricane"": 0.09, ""Sea level rise"": 0.14, ""Tornado"": 0.01, ""Extreme cold"": 0.02, ""Flooding"": 0.04}","2,030",0.36
"Marks, Garrett and Cummings",46.38141,-73.12736,Finance,"{""Extreme heat"": 0.07, ""Volcano"": 0.08, ""Sea level rise"": 0.04, ""Drought"": 0.11, ""Hurricane"": 0.01, ""Wildfire"": 0.1, ""Tornado"": 0.09, ""Extreme cold"": 0.02, ""Flooding"": 0.1}","2,030",0.62
Reid PLC,53.76658,-113.21905,Technology,"{""Flooding"": 0.0, ""Tornado"": 0.01, ""Earthquake"": 0.01, ""Volcano"": 0.01, ""Drought"": 0.01, ""Extreme heat"": 0.0, ""Extreme cold"": 0.0, ""Wildfire"": 0.01}","2,050",0.05
Norton-Spencer,46.65002,-72.18770,Finance,"{""Flooding"": 0.08, ""Earthquake"": 0.1, ""Sea level rise"": 0.07, ""Tornado"": 0.08, ""Volcano"": 0.04, ""Extreme heat"": 0.12, ""Drought"": 0.11, ""Extreme cold"": 0.12}","2,070",0.72
Skinner-Rojas,46.77382,-73.79480,Energy,"{""Drought"": 0.11, ""Extreme cold"": 0.03, ""Extreme heat"": 0.13, ""Sea level rise"": 0.11, ""Earthquake"": 0.08, ""Hurricane"": 0.03, ""Flooding"": 0.15, ""Volcano"": 0.06, ""Wildfire"": 0.04, ""Tornado"": 0.15}","2,030",0.89
"Harrison, Meza and Rios",42.98400,-79.15213,Manufacturing,"{""Extreme heat"": 0.08}","2,070",0.08
Gross PLC,45.54002,-72.76610,Manufacturing,"{""Flooding"": 0.05, ""Hurricane"": 0.04, ""Wildfire"": 0.03, ""Volcano"": 0.05, ""Extreme heat"": 0.04}","2,030",0.21
Jones Ltd,44.10126,-78.89402,Retail,"{""Extreme heat"": 0.31}","2,070",0.31
Cook-Burns,44.62032,-78.87337,Finance,"{""Drought"": 0.18, ""Volcano"": 0.32, ""Sea level rise"": 0.17}","2,050",0.67
Skinner-Rojas,45.98596,-73.54208,Energy,"{""Flooding"": 0.35}","2,040",0.35
"Bender, Warren and Sanchez",51.36141,-118.98104,Healthcare,"{""Hurricane"": 0.060000000000000005, ""Tornado"": 0.14, ""Extreme heat"": 0.12, ""Sea level rise"": 0.03, ""Extreme cold"": 0.08, ""Earthquake"": 0.09, ""Drought"": 0.01, ""Volcano"": 0.12}","2,030",0.65
Wilkerson-Miranda,46.48130,-72.67782,Manufacturing,"{""Drought"": 0.13, ""Tornado"": 0.11, ""Extreme cold"": 0.1, ""Wildfire"": 0.15, ""Extreme heat"": 0.02, ""Volcano"": 0.16}","2,050",0.67
"Watson, Evans and Smith",45.65145,-73.44699,Retail,"{""Volcano"": 0.24}","2,040",0.24
Ware PLC,46.01380,-72.58031,Technology,"{""Tornado"": 0.02, ""Earthquake"": 0.01, ""Hurricane"": 0.01, ""Extreme heat"": 0.01, ""Extreme cold"": 0.01, ""Sea level rise"": 0.0, ""Drought"": 0.01}","2,030",0.07
Robertson-Petersen,50.83223,-118.40601,Energy,"{""Drought"": 0.11, ""Flooding"": 0.08, ""Sea level rise"": 0.15, ""Earthquake"": 0.16, ""Extreme heat"": 0.09, ""Hurricane"": 0.13}","2,060",0.72
Cook-Burns,50.01630,-118.06109,Manufacturing,"{""Hurricane"": 0.89}","2,060",0.89
"Higgins, Brown and Vaughn",43.69416,-79.14061,Retail,"{""Earthquake"": 0.16, ""Flooding"": 0.44}","2,050",0.60
Duke Ltd,50.80216,-118.54349,Manufacturing,"{""Wildfire"": 0.04, ""Extreme heat"": 0.04, ""Drought"": 0.07, ""Tornado"": 0.07, ""Earthquake"": 0.04, ""Hurricane"": 0.02}","2,060",0.28
"Mejia, Roberts and Gay",51.45535,-119.05844,Technology,"{""Wildfire"": 0.019999999999999997, ""Earthquake"": 0.06, ""Volcano"": 0.06, ""Sea level rise"": 0.07, ""Tornado"": 0.08, ""Extreme cold"": 0.05, ""Extreme heat"": 0.02, ""Hurricane"": 0.06}","2,060",0.42
Foster-Flores,47.46171,-62.83569,Retail,"{""Volcano"": 0.12, ""Tornado"": 0.03, ""Earthquake"": 0.25}","2,050",0.40
Smith-Woods,46.91752,-72.46251,Technology,"{""Extreme cold"": 0.07, ""Earthquake"": 0.07, ""Flooding"": 0.1}","2,050",0.24
Gray-Evans,45.94428,-72.49437,Manufacturing,"{""Drought"": 0.03, ""Volcano"": 0.04, ""Hurricane"": 0.01, ""Extreme cold"": 0.01, ""Sea level rise"": 0.03}","2,060",0.12
Duke Ltd,45.99781,-72.91170,Finance,"{""Drought"": 0.11, ""Tornado"": 0.14}","2,030",0.25
Stanton-Joyce,46.86652,-73.28083,Energy,"{""Wildfire"": 0.21, ""Earthquake"": 0.16, ""Sea level rise"": 0.21, ""Flooding"": 0.16, ""Tornado"": 0.19, ""Extreme heat"": 0.02}","2,050",0.95
Pittman PLC,46.83683,-63.03422,Finance,"{""Earthquake"": 0.01, ""Sea level rise"": 0.02, ""Extreme cold"": 0.02, ""Drought"": 0.01, ""Volcano"": 0.03, ""Tornado"": 0.03, ""Wildfire"": 0.01, ""Hurricane"": 0.0, ""Extreme heat"": 0.01, ""Flooding"": 0.01}","2,070",0.15
Strickland-Daniels,54.82240,-111.96743,Energy,"{""Earthquake"": 0.31, ""Extreme heat"": 0.29, ""Hurricane"": 0.1, ""Sea level rise"": 0.24}","2,060",0.94
"Rodriguez, Roberts and Fuller",54.20922,-112.02396,Healthcare,"{""Flooding"": 0.16}","2,040",0.16
